cat,branch,AUROC,pAUROC0.05,AUPRO0.05,SegF1
can,HEAD,0.7476,0.7595,0.6970,0.5114
can,FUSE,0.9973,0.9727,0.9605,0.4510
fabric,HEAD,0.9924,0.9641,0.3389,0.7288
fabric,FUSE,0.9961,0.9637,0.5121,0.6852
fruit_jelly,HEAD,0.9900,0.9477,0.8196,0.7461
fruit_jelly,FUSE,0.9904,0.9492,0.8430,0.7615
rice,HEAD,0.9922,0.9358,0.9144,0.4920
rice,FUSE,0.9966,0.9824,0.9758,0.7080
sheet_metal,HEAD,0.8687,0.7631,0.6256,0.2611
sheet_metal,FUSE,0.9402,0.7916,0.6844,0.3221
vial,HEAD,0.9753,0.8299,0.6343,0.5459
vial,FUSE,0.9784,0.8420,0.7698,0.5640
wallplugs,HEAD,0.8870,0.7678,0.7091,0.3144
wallplugs,FUSE,0.9548,0.8333,0.8030,0.3616
walnuts,HEAD,0.9666,0.9063,0.7017,0.6933
walnuts,FUSE,0.9710,0.9135,0.7723,0.7170
