category,mask_file,orig_H,orig_W,raw_defect_%,tfm_defect_%,raw_px_count,tfm_px_count,signal_ratio
can,000_overexposed_mask.png,1024,2232,0.0026,0.0111,60,17,4.2142
can,000_regular_mask.png,1024,2232,0.0026,0.0111,60,17,4.2142
can,000_shift_1_mask.png,1024,2232,0.0026,0.0111,60,17,4.2142
can,000_shift_2_mask.png,1024,2232,0.0026,0.0111,60,17,4.2142
can,000_shift_3_mask.png,1024,2232,0.0026,0.0111,60,17,4.2142
can,000_underexposed_mask.png,1024,2232,0.0026,0.0111,60,17,4.2142
can,001_overexposed_mask.png,1024,2232,0.0109,0.0612,250,94,5.5925
can,001_regular_mask.png,1024,2232,0.0109,0.0612,250,94,5.5925
can,001_shift_1_mask.png,1024,2232,0.0109,0.0612,250,94,5.5925
can,001_shift_2_mask.png,1024,2232,0.0109,0.0612,250,94,5.5925
can,001_shift_3_mask.png,1024,2232,0.0109,0.0612,250,94,5.5925
can,001_underexposed_mask.png,1024,2232,0.0109,0.0612,250,94,5.5925
can,002_overexposed_mask.png,1024,2232,0.0011,0.0072,25,11,6.5445
can,002_regular_mask.png,1024,2232,0.0011,0.0072,25,11,6.5445
can,002_shift_1_mask.png,1024,2232,0.0011,0.0072,25,11,6.5445
can,002_shift_2_mask.png,1024,2232,0.0011,0.0072,25,11,6.5445
can,002_shift_3_mask.png,1024,2232,0.0011,0.0072,25,11,6.5445
can,002_underexposed_mask.png,1024,2232,0.0011,0.0072,25,11,6.5445
can,003_overexposed_mask.png,1024,2232,0.0057,0.0013,131,2,0.2271
can,003_regular_mask.png,1024,2232,0.0057,0.0013,131,2,0.2271
can,003_shift_1_mask.png,1024,2232,0.0057,0.0013,131,2,0.2271
can,003_shift_2_mask.png,1024,2232,0.0057,0.0013,131,2,0.2271
can,003_shift_3_mask.png,1024,2232,0.0057,0.0013,131,2,0.2271
can,003_underexposed_mask.png,1024,2232,0.0057,0.0013,131,2,0.2271
can,004_overexposed_mask.png,1024,2232,0.005,0.0293,114,45,5.8712
can,004_regular_mask.png,1024,2232,0.005,0.0293,114,45,5.8712
can,004_shift_1_mask.png,1024,2232,0.005,0.0293,114,45,5.8712
can,004_shift_2_mask.png,1024,2232,0.005,0.0293,114,45,5.8712
can,004_shift_3_mask.png,1024,2232,0.005,0.0293,114,45,5.8712
can,004_underexposed_mask.png,1024,2232,0.005,0.0293,114,45,5.8712
can,005_overexposed_mask.png,1024,2232,0.0056,0.0208,129,32,3.6896
can,005_regular_mask.png,1024,2232,0.0056,0.0208,129,32,3.6896
can,005_shift_1_mask.png,1024,2232,0.0056,0.0208,129,32,3.6896
can,005_shift_2_mask.png,1024,2232,0.0056,0.0208,129,32,3.6896
can,005_shift_3_mask.png,1024,2232,0.0056,0.0208,129,32,3.6896
can,005_underexposed_mask.png,1024,2232,0.0056,0.0208,129,32,3.6896
can,006_overexposed_mask.png,1024,2232,0.0035,0.0117,80,18,3.3466
can,006_regular_mask.png,1024,2232,0.0035,0.0117,80,18,3.3466
can,006_shift_1_mask.png,1024,2232,0.0035,0.0117,80,18,3.3466
can,006_shift_2_mask.png,1024,2232,0.0035,0.0117,80,18,3.3466
can,006_shift_3_mask.png,1024,2232,0.0035,0.0117,80,18,3.3466
can,006_underexposed_mask.png,1024,2232,0.0035,0.0117,80,18,3.3466
can,007_overexposed_mask.png,1024,2232,0.0042,0.0195,96,30,4.6481
can,007_regular_mask.png,1024,2232,0.0042,0.0195,96,30,4.6481
can,007_shift_1_mask.png,1024,2232,0.0042,0.0195,96,30,4.6481
can,007_shift_2_mask.png,1024,2232,0.0042,0.0195,96,30,4.6481
can,007_shift_3_mask.png,1024,2232,0.0042,0.0195,96,30,4.6481
can,007_underexposed_mask.png,1024,2232,0.0042,0.0195,96,30,4.6481
can,008_overexposed_mask.png,1024,2232,0.0197,0.0566,450,87,2.8756
can,008_regular_mask.png,1024,2232,0.0197,0.0566,450,87,2.8756
can,008_shift_1_mask.png,1024,2232,0.0197,0.0566,450,87,2.8756
can,008_shift_2_mask.png,1024,2232,0.0197,0.0566,450,87,2.8756
can,008_shift_3_mask.png,1024,2232,0.0197,0.0566,450,87,2.8756
can,008_underexposed_mask.png,1024,2232,0.0197,0.0566,450,87,2.8756
can,009_overexposed_mask.png,1024,2232,0.0085,0.0254,195,39,2.9748
can,009_regular_mask.png,1024,2232,0.0085,0.0254,195,39,2.9748
can,009_shift_1_mask.png,1024,2232,0.0085,0.0254,195,39,2.9748
can,009_shift_2_mask.png,1024,2232,0.0085,0.0254,195,39,2.9748
can,009_shift_3_mask.png,1024,2232,0.0085,0.0254,195,39,2.9748
can,009_underexposed_mask.png,1024,2232,0.0085,0.0254,195,39,2.9748
can,010_overexposed_mask.png,1024,2232,0.0029,0.0104,67,16,3.552
can,010_regular_mask.png,1024,2232,0.0029,0.0104,67,16,3.552
can,010_shift_1_mask.png,1024,2232,0.0029,0.0104,67,16,3.552
can,010_shift_2_mask.png,1024,2232,0.0029,0.0104,67,16,3.552
can,010_shift_3_mask.png,1024,2232,0.0029,0.0104,67,16,3.552
can,010_underexposed_mask.png,1024,2232,0.0029,0.0104,67,16,3.552
can,011_overexposed_mask.png,1024,2232,0.0102,0.0325,234,50,3.1782
can,011_regular_mask.png,1024,2232,0.0102,0.0325,234,50,3.1782
can,011_shift_1_mask.png,1024,2232,0.0102,0.0325,234,50,3.1782
can,011_shift_2_mask.png,1024,2232,0.0102,0.0325,234,50,3.1782
can,011_shift_3_mask.png,1024,2232,0.0102,0.0325,234,50,3.1782
can,011_underexposed_mask.png,1024,2232,0.0102,0.0325,234,50,3.1782
can,012_overexposed_mask.png,1024,2232,0.0179,0.0443,409,68,2.4729
can,012_regular_mask.png,1024,2232,0.0179,0.0443,409,68,2.4729
can,012_shift_1_mask.png,1024,2232,0.0179,0.0443,409,68,2.4729
can,012_shift_2_mask.png,1024,2232,0.0179,0.0443,409,68,2.4729
can,012_shift_3_mask.png,1024,2232,0.0179,0.0443,409,68,2.4729
can,012_underexposed_mask.png,1024,2232,0.0179,0.0443,409,68,2.4729
can,013_overexposed_mask.png,1024,2232,0.0119,0.0456,271,70,3.8419
can,013_regular_mask.png,1024,2232,0.0119,0.0456,271,70,3.8419
can,013_shift_1_mask.png,1024,2232,0.0119,0.0456,271,70,3.8419
can,013_shift_2_mask.png,1024,2232,0.0119,0.0456,271,70,3.8419
