label,score
0.000000,0.221585
0.000000,0.214699
0.000000,0.216822
0.000000,0.215025
0.000000,0.224680
0.000000,0.221965
0.000000,0.226377
0.000000,0.223638
0.000000,0.278257
0.000000,0.274606
0.000000,0.277001
0.000000,0.273077
0.000000,0.235037
0.000000,0.230780
0.000000,0.233036
0.000000,0.235661
0.000000,0.239255
0.000000,0.237919
0.000000,0.242260
0.000000,0.236112
1.000000,0.326176
1.000000,0.326703
1.000000,0.323228
1.000000,0.323438
1.000000,0.330971
1.000000,0.329573
1.000000,0.333345
1.000000,0.332353
1.000000,0.271020
1.000000,0.270077
1.000000,0.278229
1.000000,0.269329
1.000000,0.247504
1.000000,0.248862
1.000000,0.254799
1.000000,0.248321
1.000000,0.238741
1.000000,0.235417
1.000000,0.233265
1.000000,0.235746
1.000000,0.326266
1.000000,0.319556
1.000000,0.319464
1.000000,0.318939
1.000000,0.237310
1.000000,0.244092
1.000000,0.238077
1.000000,0.243334
1.000000,0.237815
1.000000,0.237929
1.000000,0.242129
1.000000,0.244311
1.000000,0.257998
1.000000,0.262971
1.000000,0.261936
1.000000,0.254757
1.000000,0.289827
1.000000,0.291060
1.000000,0.281652
1.000000,0.297346
1.000000,0.305386
1.000000,0.298708
1.000000,0.298409
1.000000,0.296601
1.000000,0.349902
1.000000,0.351108
1.000000,0.351696
1.000000,0.351158
1.000000,0.240079
1.000000,0.239729
1.000000,0.242280
1.000000,0.236121
1.000000,0.274903
1.000000,0.275493
1.000000,0.276062
1.000000,0.275412
1.000000,0.315269
1.000000,0.314389
1.000000,0.313161
1.000000,0.313678
