label,score
0.000000,0.198871
0.000000,0.195823
0.000000,0.198306
0.000000,0.202907
0.000000,0.199288
0.000000,0.194335
0.000000,0.196601
0.000000,0.193664
0.000000,0.202153
0.000000,0.200521
0.000000,0.202002
0.000000,0.194569
0.000000,0.201953
0.000000,0.202801
0.000000,0.198271
0.000000,0.206884
0.000000,0.205349
0.000000,0.202059
0.000000,0.193224
0.000000,0.189453
0.000000,0.194808
0.000000,0.209919
0.000000,0.206790
0.000000,0.190593
0.000000,0.192396
0.000000,0.190152
0.000000,0.191182
0.000000,0.202717
0.000000,0.198935
0.000000,0.186768
0.000000,0.190060
0.000000,0.188830
0.000000,0.189978
0.000000,0.197712
0.000000,0.198587
0.000000,0.185796
0.000000,0.204120
0.000000,0.199409
0.000000,0.202528
0.000000,0.199105
0.000000,0.204339
0.000000,0.199055
1.000000,0.199948
1.000000,0.206700
1.000000,0.221147
1.000000,0.235906
1.000000,0.235229
1.000000,0.208536
1.000000,0.196469
1.000000,0.193621
1.000000,0.195252
1.000000,0.201917
1.000000,0.198274
1.000000,0.194290
1.000000,0.213438
1.000000,0.212710
1.000000,0.213276
1.000000,0.223820
1.000000,0.222385
1.000000,0.210579
1.000000,0.199235
1.000000,0.198320
1.000000,0.200035
1.000000,0.202943
1.000000,0.198539
1.000000,0.202013
1.000000,0.195433
1.000000,0.193955
1.000000,0.197365
1.000000,0.207911
1.000000,0.202851
1.000000,0.194682
1.000000,0.202265
1.000000,0.197478
1.000000,0.206656
1.000000,0.224079
1.000000,0.216800
1.000000,0.194307
1.000000,0.286565
1.000000,0.283266
1.000000,0.281446
1.000000,0.311221
1.000000,0.301385
1.000000,0.282759
1.000000,0.204494
1.000000,0.200962
1.000000,0.198746
1.000000,0.216825
1.000000,0.216692
1.000000,0.199042
1.000000,0.204167
1.000000,0.217708
1.000000,0.214009
1.000000,0.226707
1.000000,0.222758
1.000000,0.213529
1.000000,0.207596
1.000000,0.203925
1.000000,0.203408
1.000000,0.206625
1.000000,0.206167
1.000000,0.204097
1.000000,0.198498
1.000000,0.196239
1.000000,0.199025
1.000000,0.203565
1.000000,0.204860
1.000000,0.193407
1.000000,0.194878
1.000000,0.193252
1.000000,0.195375
1.000000,0.211022
1.000000,0.210095
1.000000,0.192395
1.000000,0.213311
1.000000,0.212294
1.000000,0.207698
1.000000,0.225864
1.000000,0.227179
1.000000,0.210014
1.000000,0.200714
1.000000,0.198509
1.000000,0.199568
1.000000,0.214958
1.000000,0.207503
1.000000,0.199206
1.000000,0.213969
1.000000,0.205491
1.000000,0.204606
1.000000,0.212036
1.000000,0.212166
1.000000,0.204394
