label,score
0.000000,0.224353
0.000000,0.219912
0.000000,0.233920
0.000000,0.238631
0.000000,0.232287
0.000000,0.215614
0.000000,0.215652
0.000000,0.214405
0.000000,0.222708
0.000000,0.224500
0.000000,0.225119
0.000000,0.211616
0.000000,0.191366
0.000000,0.190236
0.000000,0.215325
0.000000,0.217923
0.000000,0.214745
0.000000,0.188670
0.000000,0.221085
0.000000,0.218681
0.000000,0.246870
0.000000,0.244034
0.000000,0.246324
0.000000,0.218801
1.000000,0.234422
1.000000,0.232764
1.000000,0.246855
1.000000,0.248829
1.000000,0.244078
1.000000,0.231892
1.000000,0.287836
1.000000,0.285443
1.000000,0.307828
1.000000,0.307134
1.000000,0.305151
1.000000,0.279925
1.000000,0.234468
1.000000,0.234305
1.000000,0.249136
1.000000,0.247841
1.000000,0.247794
1.000000,0.234558
1.000000,0.252711
1.000000,0.252156
1.000000,0.273766
1.000000,0.274845
1.000000,0.275211
1.000000,0.252639
1.000000,0.362531
1.000000,0.369772
1.000000,0.362123
1.000000,0.356777
1.000000,0.366638
1.000000,0.360388
1.000000,0.228416
1.000000,0.225651
1.000000,0.234092
1.000000,0.232734
1.000000,0.237113
1.000000,0.224346
1.000000,0.209843
1.000000,0.207050
1.000000,0.224351
1.000000,0.226829
1.000000,0.225521
1.000000,0.205602
1.000000,0.208443
1.000000,0.201917
1.000000,0.221383
1.000000,0.219113
1.000000,0.213844
1.000000,0.200518
1.000000,0.216962
1.000000,0.215293
1.000000,0.225601
1.000000,0.226221
1.000000,0.224553
1.000000,0.212232
1.000000,0.208220
1.000000,0.206326
1.000000,0.218135
1.000000,0.219174
1.000000,0.216586
1.000000,0.203163
1.000000,0.241220
1.000000,0.237198
1.000000,0.267074
1.000000,0.267422
1.000000,0.267194
1.000000,0.233293
1.000000,0.237701
1.000000,0.236681
1.000000,0.254164
1.000000,0.254151
1.000000,0.253152
1.000000,0.237637
1.000000,0.203089
1.000000,0.201466
1.000000,0.214068
1.000000,0.215879
1.000000,0.214208
1.000000,0.199204
1.000000,0.366924
1.000000,0.366575
1.000000,0.370560
1.000000,0.362772
1.000000,0.377555
1.000000,0.366229
1.000000,0.239265
1.000000,0.238471
1.000000,0.260015
1.000000,0.259039
1.000000,0.257247
1.000000,0.238220
