model,category,UNSUP_AUPRO05,ORACLE_AUPRO05
v2_base,can,0.1493,0.9297
v2_base,fabric,0.6247,0.8816
v2_base,fruit_jelly,0.5849,0.8759
v2_base,rice,0.6748,0.9545
v2_base,sheet_metal,0.4577,0.7129
v2_base,vial,0.7034,0.6965
v2_base,wallplugs,0.4814,0.8813
v2_base,walnuts,0.6520,0.9028
v2_large,can,0.2294,0.9989
v2_large,fabric,0.1962,0.3546
v2_large,fruit_jelly,0.5413,0.9283
v2_large,rice,0.2695,0.9296
v2_large,sheet_metal,0.1212,0.3872
v2_large,vial,0.4326,0.5801
v2_large,wallplugs,0.1354,0.8362
v2_large,walnuts,0.4974,0.6248

model,mean_UNSUP05,mean_ORACLE05,meanHARD_UNSUP05,meanHARD_ORACLE05
v2_base,0.5410,0.8544,0.3628,0.8413
v2_large,0.3029,0.7049,0.1620,0.7408
