model,category,UNSUP_AUPRO05,ORACLE_AUPRO05
v3_base,can,0.0504,0.9947
v3_base,fabric,0.6875,0.9471
v3_base,fruit_jelly,0.6227,0.9142
v3_base,rice,0.7881,0.9420
v3_base,sheet_metal,0.4586,0.7723
v3_base,vial,0.7268,0.7718
v3_base,wallplugs,0.4292,0.8587
v3_base,walnuts,0.6459,0.9197
v3_large,can,0.0776,0.9930
v3_large,fabric,0.7313,0.9723
v3_large,fruit_jelly,0.6330,0.8905
v3_large,rice,0.7803,0.9783
v3_large,sheet_metal,0.4725,0.7217
v3_large,vial,0.7423,0.8123
v3_large,wallplugs,0.5174,0.9437
v3_large,walnuts,0.6927,0.9569

model,mean_UNSUP05,mean_ORACLE05,meanHARD_UNSUP05,meanHARD_ORACLE05
v3_base,0.5512,0.8901,0.3127,0.8752
v3_large,0.5809,0.9086,0.3558,0.8861
