category,branch,I-AUROC,I-AP,I-F1_max,P-AUROC,P-AP,P-F1_max,AUPRO,AUPRO0.05,AUPRO0.30
can,RECON,0.5099,0.4355,0.6261,0.6785,0.0001,0.0002,0.2963,0.0427,0.2897
can,DIST,0.5306,0.4780,0.6211,0.6258,0.0001,0.0004,0.2807,0.1658,0.2777
can,FUSION(a=0.0),0.5228,0.4512,0.6211,0.6313,0.0001,0.0004,0.3380,0.1633,0.2787
fabric,RECON,0.7313,0.7838,0.7965,0.8859,0.1601,0.2895,0.6346,0.2805,0.6155
fabric,DIST,0.7002,0.7484,0.7818,0.8830,0.1939,0.3122,0.6640,0.4191,0.6447
fabric,FUSION(a=0.25),0.7182,0.7491,0.8000,0.9156,0.1576,0.3254,0.7052,0.4032,0.6529
fruit_jelly,RECON,0.8750,0.9512,0.9231,0.9601,0.4099,0.4997,0.8217,0.5783,0.8181
fruit_jelly,DIST,0.8517,0.9341,0.9206,0.9244,0.2366,0.3194,0.7714,0.5580,0.7675
fruit_jelly,FUSION(a=1.0),0.8167,0.8898,0.9231,0.9678,0.2671,0.4997,0.8570,0.5530,0.8151
rice,RECON,0.7785,0.8862,0.8137,0.9252,0.2762,0.4447,0.6992,0.4078,0.6934
rice,DIST,0.7785,0.8873,0.8058,0.9360,0.4826,0.5373,0.7100,0.5277,0.7074
rice,FUSION(a=0.1),0.7701,0.8770,0.7981,0.9577,0.1414,0.4028,0.7755,0.5447,0.7197
sheet_metal,RECON,0.7306,0.9233,0.8955,0.9242,0.4050,0.4664,0.5547,0.3062,0.5431
sheet_metal,DIST,0.8019,0.9487,0.8911,0.8735,0.1548,0.3055,0.5967,0.3753,0.5869
sheet_metal,FUSION(a=1.0),0.7227,0.9195,0.8955,0.9465,0.1537,0.4255,0.6199,0.2863,0.5466
vial,RECON,0.8800,0.9571,0.9065,0.9225,0.3572,0.3718,0.9135,0.6974,0.9127
vial,DIST,0.9410,0.9798,0.9459,0.9355,0.3865,0.3846,0.9212,0.7402,0.9190
vial,FUSION(a=0.1),0.9426,0.9804,0.9459,0.9441,0.3301,0.3866,0.9371,0.7239,0.9205
wallplugs,RECON,0.4439,0.5486,0.7500,0.8567,0.0223,0.0760,0.4283,0.1492,0.4278
wallplugs,DIST,0.4715,0.5791,0.7500,0.8898,0.0441,0.1174,0.5060,0.2459,0.5056
wallplugs,FUSION(a=0.0),0.4715,0.5887,0.7500,0.9115,0.0346,0.1162,0.5376,0.2389,0.5003
walnuts,RECON,0.7717,0.7895,0.8660,0.9653,0.4262,0.5469,0.7021,0.3606,0.6957
walnuts,DIST,0.7650,0.7383,0.8718,0.9574,0.3671,0.5409,0.7125,0.4011,0.7083
walnuts,FUSION(a=0.4),0.7793,0.7795,0.8776,0.9680,0.3400,0.5583,0.7287,0.4136,0.7197
MEAN,RECON,0.7151,0.7844,0.8222,0.8898,0.2571,0.3369,0.6313,0.3528,0.6245
MEAN,DIST,0.7300,0.7867,0.8235,0.8782,0.2332,0.3147,0.6453,0.4291,0.6396
MEAN,FUSION,0.7180,0.7794,0.8264,0.9053,0.1781,0.3394,0.6874,0.4159,0.6442
