label,score
0.000000,0.250133
0.000000,0.241208
0.000000,0.260089
0.000000,0.242470
0.000000,0.241573
0.000000,0.259387
0.000000,0.241059
0.000000,0.210242
0.000000,0.163645
0.000000,0.296490
0.000000,0.161867
0.000000,0.164199
0.000000,0.298319
0.000000,0.237311
0.000000,0.229416
0.000000,0.217192
0.000000,0.276046
0.000000,0.215671
0.000000,0.268147
0.000000,0.308809
0.000000,0.224552
0.000000,0.248755
0.000000,0.237785
0.000000,0.339248
0.000000,0.230979
0.000000,0.300502
0.000000,0.352611
0.000000,0.250299
0.000000,0.211964
0.000000,0.167697
0.000000,0.305273
0.000000,0.170146
0.000000,0.238829
0.000000,0.313439
0.000000,0.246643
1.000000,0.433306
1.000000,0.429927
1.000000,0.438562
1.000000,0.434627
1.000000,0.431265
1.000000,0.446061
1.000000,0.426627
1.000000,0.355057
1.000000,0.355461
1.000000,0.369286
1.000000,0.356626
1.000000,0.372060
1.000000,0.373868
1.000000,0.352586
1.000000,0.434391
1.000000,0.428592
1.000000,0.427619
1.000000,0.435372
1.000000,0.424519
1.000000,0.425928
1.000000,0.422981
1.000000,0.310300
1.000000,0.302088
1.000000,0.320667
1.000000,0.299467
1.000000,0.321009
1.000000,0.327249
1.000000,0.295364
1.000000,0.401934
1.000000,0.392513
1.000000,0.392285
1.000000,0.392904
1.000000,0.388517
1.000000,0.390815
1.000000,0.390444
1.000000,0.425541
1.000000,0.427934
1.000000,0.421999
1.000000,0.424730
1.000000,0.425844
1.000000,0.423551
1.000000,0.425200
1.000000,0.353114
1.000000,0.349671
1.000000,0.377466
1.000000,0.349199
1.000000,0.356123
1.000000,0.380408
1.000000,0.350930
1.000000,0.258961
1.000000,0.255963
1.000000,0.315116
1.000000,0.265971
1.000000,0.277466
1.000000,0.322927
1.000000,0.260143
1.000000,0.224289
1.000000,0.205948
1.000000,0.398655
1.000000,0.206910
1.000000,0.296984
1.000000,0.401251
1.000000,0.237499
1.000000,0.327518
1.000000,0.320715
1.000000,0.357413
1.000000,0.322120
1.000000,0.328885
1.000000,0.348201
1.000000,0.318376
1.000000,0.303351
1.000000,0.294082
1.000000,0.355594
1.000000,0.292637
1.000000,0.307164
1.000000,0.352986
1.000000,0.298041
1.000000,0.248613
1.000000,0.242187
1.000000,0.301885
1.000000,0.241160
1.000000,0.272628
1.000000,0.300930
1.000000,0.247686
1.000000,0.269249
1.000000,0.265860
1.000000,0.370893
1.000000,0.261581
1.000000,0.301759
1.000000,0.382465
1.000000,0.267083
1.000000,0.269239
1.000000,0.264871
1.000000,0.319443
1.000000,0.265497
1.000000,0.270333
1.000000,0.324643
1.000000,0.262521
1.000000,0.323604
1.000000,0.318886
1.000000,0.331566
1.000000,0.316527
1.000000,0.316879
1.000000,0.330856
1.000000,0.315816
