label,score
0.000000,0.258050
0.000000,0.257246
0.000000,0.314488
0.000000,0.348206
0.000000,0.314244
0.000000,0.257024
0.000000,0.193865
0.000000,0.193309
0.000000,0.272832
0.000000,0.313468
0.000000,0.280517
0.000000,0.191743
0.000000,0.198880
0.000000,0.198163
0.000000,0.267956
0.000000,0.335083
0.000000,0.287390
0.000000,0.196786
0.000000,0.191289
0.000000,0.190282
0.000000,0.277408
0.000000,0.286941
0.000000,0.272025
0.000000,0.189029
0.000000,0.217886
0.000000,0.217151
0.000000,0.283119
0.000000,0.417822
0.000000,0.342256
0.000000,0.216789
0.000000,0.243205
0.000000,0.241026
0.000000,0.281104
0.000000,0.323207
0.000000,0.287518
0.000000,0.239810
0.000000,0.208016
0.000000,0.207571
0.000000,0.271843
0.000000,0.315593
0.000000,0.273044
0.000000,0.205206
0.000000,0.258044
0.000000,0.254134
0.000000,0.314298
0.000000,0.319975
0.000000,0.308857
0.000000,0.252113
0.000000,0.263742
0.000000,0.263220
0.000000,0.335720
0.000000,0.333489
0.000000,0.347233
0.000000,0.263108
0.000000,0.269018
0.000000,0.268048
0.000000,0.319307
0.000000,0.349541
0.000000,0.314323
0.000000,0.267867
1.000000,0.194436
1.000000,0.194066
1.000000,0.273101
1.000000,0.307073
1.000000,0.297714
1.000000,0.193924
1.000000,0.202442
1.000000,0.202549
1.000000,0.262161
1.000000,0.311428
1.000000,0.266732
1.000000,0.203291
1.000000,0.224672
1.000000,0.222859
1.000000,0.272033
1.000000,0.282463
1.000000,0.270120
1.000000,0.222208
1.000000,0.188426
1.000000,0.187535
1.000000,0.262522
1.000000,0.308859
1.000000,0.258860
1.000000,0.186600
1.000000,0.228305
1.000000,0.227044
1.000000,0.301487
1.000000,0.337011
1.000000,0.303590
1.000000,0.226807
1.000000,0.224205
1.000000,0.221406
1.000000,0.273317
1.000000,0.302246
1.000000,0.263810
1.000000,0.219239
1.000000,0.212515
1.000000,0.210539
1.000000,0.274009
1.000000,0.289477
1.000000,0.266982
1.000000,0.209516
1.000000,0.216451
1.000000,0.216366
1.000000,0.271909
1.000000,0.327187
1.000000,0.258502
1.000000,0.216031
1.000000,0.245669
1.000000,0.244415
1.000000,0.306106
1.000000,0.307578
1.000000,0.304799
1.000000,0.244372
1.000000,0.201361
1.000000,0.202306
1.000000,0.292477
1.000000,0.323153
1.000000,0.302360
1.000000,0.201975
1.000000,0.228174
1.000000,0.225367
1.000000,0.286830
1.000000,0.323473
1.000000,0.292215
1.000000,0.223369
1.000000,0.228811
1.000000,0.229082
1.000000,0.269735
1.000000,0.336535
1.000000,0.278806
1.000000,0.227625
1.000000,0.299167
1.000000,0.298208
1.000000,0.322030
1.000000,0.325142
1.000000,0.313296
1.000000,0.298126
1.000000,0.246145
1.000000,0.244361
1.000000,0.324788
1.000000,0.343330
1.000000,0.321586
1.000000,0.243410
1.000000,0.190226
1.000000,0.189845
1.000000,0.286335
1.000000,0.309128
1.000000,0.267591
1.000000,0.189342
