==============================================================================
FEW-SHOT | tiles=2 (eff 784) | shots=[0, 1, 5, 10]
UNSUP=distance | HEAD=logistic(k ảnh nhãn) | FUSE=rank(d)+prob. Báo AUPRO0.05 & P-F1max.
==============================================================================

==============================================================================
shot/branch      AUPRO0.05     P-F1max
0-UNSUP             0.5848      0.3000
1-FUSE              0.5837      0.2915
1-HEAD              0.3288      0.1917
5-FUSE              0.6542      0.3453
5-HEAD              0.5126      0.3090
10-FUSE             0.7181      0.4389
10-HEAD             0.6211      0.4576

Đã lưu: ./diagnosis_fewshot/results.csv
ĐỌC: HEAD/FUSE ở k nhỏ có vượt 0-UNSUP không (nhất là P-F1max=proxy SegF1). Lift mạnh -> few-shot phá trần FP = NOVELTY.
