loss,category,I-AUROC,I-AP,I-F1_max,P-AUROC,P-AP,P-F1_max,AUPRO,AUPRO0.05,AUPRO0.30
hinge,can,0.4735,0.4579,0.6207,0.6087,0.0000,0.0001,0.1822,0.0182,0.1792
hinge,fabric,0.5419,0.6650,0.7317,0.9660,0.3346,0.4286,0.4862,0.2445,0.4775
hinge,fruit_jelly,0.8217,0.9439,0.8793,0.9509,0.5606,0.5549,0.6419,0.3048,0.6340
hinge,rice,0.5848,0.7410,0.7905,0.8702,0.1269,0.2386,0.4271,0.1340,0.4259
hinge,sheet_metal,0.7176,0.9113,0.8824,0.9153,0.3539,0.4692,0.4041,0.2726,0.3985
hinge,vial,0.6558,0.8446,0.8703,0.8069,0.1133,0.1490,0.4634,0.1259,0.4565
hinge,wallplugs,0.4413,0.5627,0.7595,0.6911,0.0031,0.0071,0.0935,0.0075,0.0931
hinge,walnuts,0.6861,0.7022,0.8317,0.9042,0.1506,0.2650,0.3777,0.0871,0.3702
hinge,MEAN,0.6153,0.7286,0.7958,0.8391,0.2054,0.2641,0.3845,0.1493,0.3793
pauc,can,0.3821,0.3870,0.6180,0.4845,0.0000,0.0001,0.1245,-0.0000,-0.0000
pauc,fabric,0.5533,0.5951,0.7455,0.4844,0.0047,0.0198,0.1242,-0.0000,-0.0000
pauc,fruit_jelly,0.5883,0.8101,0.8571,0.5188,0.0091,0.0355,0.1418,0.0068,0.0068
pauc,rice,0.5562,0.7012,0.7778,0.4986,0.0018,0.0057,0.1457,0.0120,0.0120
pauc,sheet_metal,0.3051,0.6926,0.8824,0.4791,0.0037,0.0235,0.1378,0.0107,0.0107
pauc,vial,0.5322,0.7738,0.8571,0.6896,0.0499,0.1164,0.3177,0.0084,0.1722
pauc,wallplugs,0.5631,0.6438,0.7803,0.4984,0.0017,0.0039,0.2554,0.1022,0.1022
pauc,walnuts,0.6376,0.7107,0.7664,0.8324,0.0510,0.1257,0.2493,0.0381,0.2345
pauc,MEAN,0.5147,0.6643,0.7856,0.5607,0.0152,0.0413,0.1870,0.0223,0.0673
