branch,category,I-AUROC,I-AP,I-F1_max,P-AUROC,P-AP,P-F1_max,AUPRO,AUPRO0.05,AUPRO0.30
T2,can,0.5461,0.5334,0.6983,0.7784,0.0003,0.0032,0.4497,0.1719,0.4382
T2,fabric,0.7700,0.7484,0.8163,0.7949,0.0750,0.1636,0.8436,0.7073,0.8428
T2,fruit_jelly,0.8350,0.9127,0.9355,0.9211,0.2141,0.2714,0.8186,0.5355,0.8161
T2,rice,0.6627,0.8499,0.8108,0.9653,0.6690,0.6705,0.7922,0.5835,0.7782
T2,sheet_metal,0.8153,0.9486,0.9045,0.7453,0.0928,0.1964,0.6711,0.5065,0.6709
T2,vial,0.9483,0.9828,0.9352,0.9426,0.3553,0.3644,0.9389,0.7721,0.9384
T2,wallplugs,0.4609,0.5624,0.7500,0.9253,0.0723,0.1670,0.8165,0.5417,0.8134
T2,walnuts,0.9130,0.9473,0.8866,0.9559,0.5719,0.6065,0.7652,0.5628,0.7622
T2,MEAN,0.7439,0.8107,0.8422,0.8786,0.2563,0.3054,0.7620,0.5476,0.7575
T4,can,0.5201,0.5371,0.6903,0.8622,0.0009,0.0060,0.5409,0.2458,0.5310
T4,fabric,0.7627,0.7581,0.7708,0.7363,0.0559,0.1263,0.9569,0.8838,0.9566
T4,fruit_jelly,0.8475,0.9299,0.9244,0.9155,0.1828,0.2253,0.8320,0.5055,0.8316
T4,rice,0.6431,0.8538,0.8108,0.9588,0.6435,0.6649,0.8374,0.6578,0.8308
T4,sheet_metal,0.7130,0.9060,0.9045,0.6723,0.1088,0.1951,0.7486,0.5211,0.7397
T4,vial,0.9565,0.9866,0.9439,0.9350,0.3524,0.3601,0.9346,0.7634,0.9337
T4,wallplugs,0.4661,0.5523,0.7686,0.9044,0.0848,0.1687,0.8318,0.6566,0.8288
T4,walnuts,0.9539,0.9746,0.9222,0.9514,0.5976,0.6272,0.8143,0.5742,0.8134
T4,MEAN,0.7329,0.8123,0.8419,0.8670,0.2533,0.2967,0.8121,0.6010,0.8082
T8,can,0.5290,0.5187,0.7074,0.8999,0.0012,0.0075,0.5815,0.2956,0.5610
T8,fabric,0.7984,0.8299,0.7615,0.6853,0.0432,0.0921,0.9574,0.8814,0.9562
T8,fruit_jelly,0.8300,0.9349,0.8955,0.9195,0.1440,0.1842,0.8510,0.4443,0.8489
T8,rice,0.5870,0.8205,0.8108,0.9423,0.5526,0.5812,0.7796,0.5235,0.7680
T8,sheet_metal,0.5875,0.8396,0.9091,0.6887,0.0959,0.1612,0.5914,0.2755,0.5850
T8,vial,0.9581,0.9873,0.9395,0.9278,0.3124,0.3291,0.9248,0.7215,0.9236
T8,wallplugs,0.5219,0.5927,0.7706,0.8491,0.0732,0.1359,0.7835,0.5915,0.7812
T8,walnuts,0.9633,0.9808,0.9419,0.9425,0.5225,0.5430,0.8097,0.5560,0.8090
T8,MEAN,0.7219,0.8131,0.8420,0.8569,0.2181,0.2543,0.7849,0.5362,0.7791
MEAN,can,0.5478,0.5342,0.7013,0.8731,0.0008,0.0060,0.5329,0.2477,0.5135
MEAN,fabric,0.8151,0.7977,0.8000,0.7637,0.0644,0.1404,0.9534,0.8636,0.9509
MEAN,fruit_jelly,0.8375,0.9192,0.9375,0.9257,0.2082,0.2462,0.8557,0.5335,0.8540
MEAN,rice,0.6122,0.8397,0.8108,0.9671,0.6989,0.7056,0.8591,0.6637,0.8448
MEAN,sheet_metal,0.7259,0.9110,0.9091,0.7118,0.1353,0.2170,0.7403,0.5275,0.7271
MEAN,vial,0.9556,0.9865,0.9484,0.9389,0.3684,0.3756,0.9418,0.7880,0.9417
MEAN,wallplugs,0.4991,0.5776,0.7742,0.9127,0.1140,0.2023,0.8380,0.6433,0.8367
MEAN,walnuts,0.9680,0.9833,0.9595,0.9543,0.6358,0.6640,0.8074,0.5895,0.8073
MEAN,MEAN,0.7451,0.8187,0.8551,0.8809,0.2782,0.3196,0.8161,0.6071,0.8095
MAX,can,0.5485,0.5347,0.6933,0.8948,0.0009,0.0059,0.5702,0.2727,0.5696
MAX,fabric,0.7791,0.7699,0.7783,0.7659,0.0677,0.1540,0.9628,0.8782,0.9621
MAX,fruit_jelly,0.8642,0.9375,0.9375,0.9263,0.1946,0.2356,0.8581,0.5310,0.8578
MAX,rice,0.6439,0.8510,0.8108,0.9658,0.6912,0.6959,0.8553,0.6568,0.8507
MAX,sheet_metal,0.8042,0.9434,0.9119,0.7505,0.1047,0.2076,0.7632,0.5612,0.7549
MAX,vial,0.9429,0.9818,0.9352,0.9337,0.3478,0.3550,0.9362,0.7660,0.9360
MAX,wallplugs,0.4691,0.5547,0.7692,0.9069,0.0869,0.1833,0.8328,0.6227,0.8304
MAX,walnuts,0.9524,0.9733,0.9290,0.9497,0.5802,0.6089,0.8207,0.5746,0.8207
MAX,MEAN,0.7505,0.8183,0.8457,0.8867,0.2593,0.3058,0.8249,0.6079,0.8228
