device=cuda:0 OFFLINE post-op tu cache ./fill. P0=fill@rule (control 0.3748), P1=P0 | holes@p95(gain1.0). Zero hằng số mới, không GT, không per-cat.
  [fabric] cache n=156 thr=39.691
    [fabric] F1@rule P0=0.3623  P1=0.6905  Δ=+0.3282
      000_underexposed.png: GT=920k  điền_P0=0k  thêm_P1=579k
      000_overexposed.png: GT=920k  điền_P0=0k  thêm_P1=540k
      000_shift_3.png: GT=920k  điền_P0=0k  thêm_P1=462k
      000_shift_1.png: GT=920k  điền_P0=0k  thêm_P1=580k
      000_shift_2.png: GT=920k  điền_P0=778k  thêm_P1=8k
      000_regular.png: GT=920k  điền_P0=0k  thêm_P1=566k
  [can] cache n=162 thr=42.039
    [can] F1@rule P0=0.0038  P1=0.0016  Δ=-0.0022
  [sheet_metal] cache n=114 thr=41.152
    [sheet_metal] F1@rule P0=0.3075  P1=0.2024  Δ=-0.1051
      007_shift_2.png: GT=30k  điền_P0=0k  thêm_P1=0k
      004_shift_2.png: GT=74k  điền_P0=0k  thêm_P1=48k
      013_shift_3.png: GT=183k  điền_P0=0k  thêm_P1=29k
      013_overexposed.png: GT=183k  điền_P0=0k  thêm_P1=0k
      007_overexposed.png: GT=30k  điền_P0=0k  thêm_P1=0k
      007_underexposed.png: GT=30k  điền_P0=0k  thêm_P1=0k
      004_underexposed.png: GT=74k  điền_P0=0k  thêm_P1=3k
      013_regular.png: GT=183k  điền_P0=0k  thêm_P1=0k
      013_shift_1.png: GT=183k  điền_P0=0k  thêm_P1=25k
      004_shift_1.png: GT=74k  điền_P0=0k  thêm_P1=38k
      004_regular.png: GT=74k  điền_P0=0k  thêm_P1=9k
      013_underexposed.png: GT=183k  điền_P0=0k  thêm_P1=0k
      004_shift_3.png: GT=74k  điền_P0=0k  thêm_P1=44k
      013_shift_2.png: GT=183k  điền_P0=0k  thêm_P1=31k
      007_regular.png: GT=30k  điền_P0=0k  thêm_P1=0k
      007_shift_3.png: GT=30k  điền_P0=0k  thêm_P1=1k
      007_shift_1.png: GT=30k  điền_P0=0k  thêm_P1=1k
      004_overexposed.png: GT=74k  điền_P0=0k  thêm_P1=13k
  [fruit_jelly] cache n=80 thr=42.460
    [fruit_jelly] F1@rule P0=0.3075  P1=0.2874  Δ=-0.0201
      006_underexposed.png: GT=53k  điền_P0=0k  thêm_P1=13k
      011_regular.png: GT=84k  điền_P0=0k  thêm_P1=1k
      010_overexposed.png: GT=74k  điền_P0=0k  thêm_P1=6k
      010_regular.png: GT=74k  điền_P0=0k  thêm_P1=5k
      001_regular.png: GT=185k  điền_P0=0k  thêm_P1=3k
      000_regular.png: GT=132k  điền_P0=0k  thêm_P1=17k
      013_shift_1.png: GT=53k  điền_P0=0k  thêm_P1=0k
      013_overexposed.png: GT=53k  điền_P0=0k  thêm_P1=0k
      011_overexposed.png: GT=84k  điền_P0=0k  thêm_P1=0k
      006_overexposed.png: GT=53k  điền_P0=0k  thêm_P1=13k
      013_underexposed.png: GT=53k  điền_P0=0k  thêm_P1=0k
      001_shift_1.png: GT=185k  điền_P0=0k  thêm_P1=13k
      006_regular.png: GT=53k  điền_P0=0k  thêm_P1=12k
      010_underexposed.png: GT=74k  điền_P0=0k  thêm_P1=6k
      010_shift_1.png: GT=74k  điền_P0=0k  thêm_P1=6k
      000_shift_1.png: GT=132k  điền_P0=0k  thêm_P1=21k
      001_overexposed.png: GT=185k  điền_P0=0k  thêm_P1=13k
      000_overexposed.png: GT=132k  điền_P0=0k  thêm_P1=21k
      013_regular.png: GT=53k  điền_P0=0k  thêm_P1=0k
      006_shift_1.png: GT=53k  điền_P0=0k  thêm_P1=17k
      011_shift_1.png: GT=84k  điền_P0=0k  thêm_P1=0k
      011_underexposed.png: GT=84k  điền_P0=0k  thêm_P1=1k
      001_underexposed.png: GT=185k  điền_P0=0k  thêm_P1=17k
      000_underexposed.png: GT=132k  điền_P0=0k  thêm_P1=17k
  [vial] cache n=140 thr=40.218
    [vial] F1@rule P0=0.4111  P1=0.3870  Δ=-0.0241
      003_regular.png: GT=33k  điền_P0=0k  thêm_P1=5k
      001_shift_1.png: GT=22k  điền_P0=0k  thêm_P1=2k
      004_shift_3.png: GT=23k  điền_P0=0k  thêm_P1=20k
      009_regular.png: GT=39k  điền_P0=4k  thêm_P1=30k
      002_underexposed.png: GT=22k  điền_P0=0k  thêm_P1=6k
      013_overexposed.png: GT=129k  điền_P0=1k  thêm_P1=4k
      001_regular.png: GT=22k  điền_P0=0k  thêm_P1=0k
      004_overexposed.png: GT=23k  điền_P0=0k  thêm_P1=15k
      003_shift_3.png: GT=33k  điền_P0=0k  thêm_P1=3k
      002_shift_2.png: GT=22k  điền_P0=0k  thêm_P1=4k
      001_underexposed.png: GT=22k  điền_P0=0k  thêm_P1=0k
      009_shift_3.png: GT=39k  điền_P0=4k  thêm_P1=30k
      003_overexposed.png: GT=33k  điền_P0=0k  thêm_P1=3k
      003_shift_1.png: GT=33k  điền_P0=0k  thêm_P1=19k
      013_shift_3.png: GT=129k  điền_P0=0k  thêm_P1=5k
      014_regular.png: GT=71k  điền_P0=0k  thêm_P1=0k
      009_overexposed.png: GT=39k  điền_P0=4k  thêm_P1=27k
      000_underexposed.png: GT=27k  điền_P0=0k  thêm_P1=0k
      013_underexposed.png: GT=129k  điền_P0=4k  thêm_P1=4k
      014_shift_1.png: GT=71k  điền_P0=0k  thêm_P1=0k
      001_shift_4.png: GT=22k  điền_P0=0k  thêm_P1=0k
      013_shift_2.png: GT=129k  điền_P0=0k  thêm_P1=4k
      008_regular.png: GT=344k  điền_P0=0k  thêm_P1=0k
      000_shift_1.png: GT=28k  điền_P0=0k  thêm_P1=2k
      003_shift_2.png: GT=33k  điền_P0=0k  thêm_P1=3k
      012_shift_1.png: GT=256k  điền_P0=0k  thêm_P1=2k
      008_shift_4.png: GT=344k  điền_P0=0k  thêm_P1=10k
      012_shift_3.png: GT=256k  điền_P0=0k  thêm_P1=0k
      008_shift_1.png: GT=344k  điền_P0=0k  thêm_P1=0k
      005_shift_2.png: GT=115k  điền_P0=0k  thêm_P1=0k
      014_shift_4.png: GT=71k  điền_P0=0k  thêm_P1=2k
      000_overexposed.png: GT=28k  điền_P0=0k  thêm_P1=0k
      004_shift_4.png: GT=23k  điền_P0=0k  thêm_P1=22k
      004_regular.png: GT=23k  điền_P0=0k  thêm_P1=14k
      013_shift_1.png: GT=129k  điền_P0=0k  thêm_P1=5k
      004_shift_1.png: GT=23k  điền_P0=0k  thêm_P1=28k
      008_overexposed.png: GT=344k  điền_P0=0k  thêm_P1=0k
      009_underexposed.png: GT=39k  điền_P0=4k  thêm_P1=28k
      014_underexposed.png: GT=71k  điền_P0=0k  thêm_P1=0k
      014_shift_3.png: GT=71k  điền_P0=0k  thêm_P1=0k
      005_shift_4.png: GT=115k  điền_P0=0k  thêm_P1=2k
      002_regular.png: GT=22k  điền_P0=0k  thêm_P1=6k
      002_shift_3.png: GT=22k  điền_P0=0k  thêm_P1=6k
      000_shift_4.png: GT=28k  điền_P0=0k  thêm_P1=1k
      014_shift_2.png: GT=71k  điền_P0=0k  thêm_P1=0k
      005_shift_1.png: GT=115k  điền_P0=0k  thêm_P1=0k
      001_shift_3.png: GT=22k  điền_P0=0k  thêm_P1=0k
      000_shift_3.png: GT=28k  điền_P0=0k  thêm_P1=0k
      002_overexposed.png: GT=22k  điền_P0=0k  thêm_P1=22k
      008_shift_2.png: GT=344k  điền_P0=0k  thêm_P1=0k
      002_shift_1.png: GT=22k  điền_P0=0k  thêm_P1=20k
      003_shift_4.png: GT=33k  điền_P0=0k  thêm_P1=20k
      001_shift_2.png: GT=22k  điền_P0=0k  thêm_P1=0k
      003_underexposed.png: GT=33k  điền_P0=0k  thêm_P1=3k
      005_regular.png: GT=115k  điền_P0=0k  thêm_P1=0k
      012_shift_4.png: GT=256k  điền_P0=0k  thêm_P1=3k
      000_regular.png: GT=28k  điền_P0=0k  thêm_P1=0k
      012_underexposed.png: GT=256k  điền_P0=0k  thêm_P1=1k
      005_overexposed.png: GT=115k  điền_P0=0k  thêm_P1=3k
      013_shift_4.png: GT=129k  điền_P0=0k  thêm_P1=5k
      005_shift_3.png: GT=115k  điền_P0=0k  thêm_P1=0k
      008_shift_3.png: GT=344k  điền_P0=0k  thêm_P1=3k
      001_overexposed.png: GT=22k  điền_P0=0k  thêm_P1=0k
      008_underexposed.png: GT=344k  điền_P0=0k  thêm_P1=0k
      009_shift_2.png: GT=39k  điền_P0=4k  thêm_P1=30k
      013_regular.png: GT=129k  điền_P0=1k  thêm_P1=4k
      012_overexposed.png: GT=256k  điền_P0=0k  thêm_P1=0k
      002_shift_4.png: GT=22k  điền_P0=0k  thêm_P1=20k
      012_regular.png: GT=256k  điền_P0=0k  thêm_P1=0k
